,permno,hsiccd
7994645,22103,Metal and Machinery Manufacturing
7994651,22111,Electronic and Transportation Equipment Manufacturing
8035062,22138,Transportation
8046687,22170,Chemical and Allied Manufacturing
8046705,22189,Transportation
8067011,22218,Transportation
8077774,22242,Electronic and Transportation Equipment Manufacturing
8083350,22250,Textile and Apparel Manufacturing
8099610,22293,Metal and Machinery Manufacturing
8119616,22306,Electronic and Transportation Equipment Manufacturing
8125111,22330,Food and Tobacco Manufacturing
8131258,22365,Metal and Machinery Manufacturing
8136384,22381,Food and Tobacco Manufacturing
8141117,22402,Transportation
8147943,22410,"Finance, Insurance, and Real Estate"
8156946,22429,Food and Tobacco Manufacturing
8166011,22461,Transportation
8166023,22488,Electronic and Transportation Equipment Manufacturing
8184219,22496,Utilities
8198272,22509,Chemical and Allied Manufacturing
8218118,22517,Communications
8237976,22533,Metal and Machinery Manufacturing
8246595,22541,Utilities
8260839,22568,Electronic and Transportation Equipment Manufacturing
8271815,22592,Electronic and Transportation Equipment Manufacturing
8287719,22613,Utilities
8305570,22621,Wood and Paper Manufacturing
8315568,22623,Nonclassifiable Establishments
8315593,22648,Food and Tobacco Manufacturing
8325781,22680,Metal and Machinery Manufacturing
8325790,22699,Metal and Machinery Manufacturing
8341609,22728,Textile and Apparel Manufacturing
8362323,22752,Chemical and Allied Manufacturing
8362328,22753,Retail Trade
8385063,22760,Textile and Apparel Manufacturing
8389909,22779,Electronic and Transportation Equipment Manufacturing
8390359,22787,Chemical and Allied Manufacturing
8435652,22808,Metal and Machinery Manufacturing
8441290,22840,Retail Trade
8458626,22859,Utilities
8475257,22875,Textile and Apparel Manufacturing
8479365,22920,Food and Tobacco Manufacturing
8479381,22891,Retail Trade
8503408,22939,Retail Trade
8510371,22947,Utilities
8525558,23050,Chemical and Allied Manufacturing
8525559,22976,Nonclassifiable Establishments
8525992,23018,Electronic and Transportation Equipment Manufacturing
8533419,23026,Utilities
8562221,23077,Food and Tobacco Manufacturing
8579144,23085,Utilities
8597486,23114,Utilities
8614155,23130,Transportation
8622848,23165,Textile and Apparel Manufacturing
8626328,23173,Wood and Paper Manufacturing
8629247,23210,Utilities
8639248,23229,Utilities
8658775,23237,Transportation
8664888,23384,Metal and Machinery Manufacturing
8664907,23253,Electronic and Transportation Equipment Manufacturing
8676060,23288,Metal and Machinery Manufacturing
8686634,23296,Textile and Apparel Manufacturing
8686638,23309,Personal Services
8707237,23317,Mining
8707248,23318,Chemical and Allied Manufacturing
8726860,23325,Wood and Paper Manufacturing
8736425,23341,Chemical and Allied Manufacturing
8756455,23393,Chemical and Allied Manufacturing
8764395,23421,Textile and Apparel Manufacturing
8778730,23448,Utilities
8778736,23456,Electronic and Transportation Equipment Manufacturing
8793122,23464,Metal and Machinery Manufacturing
8801841,23473,"Finance, Insurance, and Real Estate"
8804681,23480,Chemical and Allied Manufacturing
8806085,23499,Utilities
8833374,23501,Utilities
8850722,23528,"Finance, Insurance, and Real Estate"
8856198,23536,Utilities
8875502,23552,Metal and Machinery Manufacturing
